Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,8,37,1,Some Random Commen with Id 0
1,1,8,185,4,Some Random Commen with Id 1
2,1,8,87,0,Some Random Commen with Id 2
3,1,8,134,8,Some Random Commen with Id 3
4,1,8,123,9,Some Random Commen with Id 4
5,1,8,61,2,Some Random Commen with Id 5
6,1,8,98,1,Some Random Commen with Id 6
7,2,0,67,5,Some Random Commen with Id 7
8,2,0,147,3,Some Random Commen with Id 8
9,2,0,197,4,Some Random Commen with Id 9
10,2,0,48,1,Some Random Commen with Id 10
11,2,0,27,4,Some Random Commen with Id 11
12,2,0,89,6,Some Random Commen with Id 12
13,3,8,123,5,Some Random Commen with Id 13
14,3,8,97,0,Some Random Commen with Id 14
15,3,8,81,4,Some Random Commen with Id 15
16,3,8,74,9,Some Random Commen with Id 16
17,3,8,89,3,Some Random Commen with Id 17
18,3,8,8,7,Some Random Commen with Id 18
19,3,8,17,9,Some Random Commen with Id 19
20,3,8,126,4,Some Random Commen with Id 20
21,3,8,151,1,Some Random Commen with Id 21
22,4,9,181,0,Some Random Commen with Id 22
23,4,9,113,8,Some Random Commen with Id 23
24,4,9,3,9,Some Random Commen with Id 24
25,4,9,65,6,Some Random Commen with Id 25
26,4,9,167,5,Some Random Commen with Id 26
27,4,9,105,8,Some Random Commen with Id 27
28,4,9,143,3,Some Random Commen with Id 28
29,4,9,79,3,Some Random Commen with Id 29
30,4,9,47,1,Some Random Commen with Id 30
31,5,3,86,7,Some Random Commen with Id 31
32,5,3,168,5,Some Random Commen with Id 32
33,5,3,123,4,Some Random Commen with Id 33
34,5,3,53,7,Some Random Commen with Id 34
35,5,3,133,9,Some Random Commen with Id 35
36,5,3,192,7,Some Random Commen with Id 36
37,5,3,176,1,Some Random Commen with Id 37
38,5,3,25,3,Some Random Commen with Id 38
39,5,3,83,3,Some Random Commen with Id 39
40,6,2,150,6,Some Random Commen with Id 40
41,6,2,184,6,Some Random Commen with Id 41
42,6,2,88,9,Some Random Commen with Id 42
43,6,2,11,6,Some Random Commen with Id 43
44,6,2,79,0,Some Random Commen with Id 44
45,6,2,59,9,Some Random Commen with Id 45
46,6,2,49,1,Some Random Commen with Id 46
47,6,2,119,7,Some Random Commen with Id 47
48,6,2,55,6,Some Random Commen with Id 48
49,7,0,186,1,Some Random Commen with Id 49
50,7,0,84,8,Some Random Commen with Id 50
